Longitude,Latitude,RSRP(dBm),SINR(dB),Throughput Downlink(Kbps),Throughput Uplink(Kbps)
107.09331369,-6.38884301,-79.43,2.75,3880.58,11865.5
107.09328656,-6.38884375,-75.2,9.75,1565.89,8202.47
107.09326247,-6.38884487,-75.85,6.0,527.38,8320.13
107.09322956,-6.38884801,-83.86,1.0,2699.19,6970.65
107.09319289,-6.38885228,-87.08,-1.75,4156.73,5613.32
107.09316589,-6.38885436,-91.42,-4.5,3851.05,6953.68
107.093132,-6.38885708,-98.98,-5.75,2535.92,6086.5
107.09309633,-6.38886028,-102.27,-9.25,3383.11,5260.21
107.09305763,-6.38886336,-101.33,-11.75,1092.86,4444.78
107.09302122,-6.388866,-98.09,-6.5,3773.54,121.38
107.09298901,-6.38886955,-99.68,-6.0,706.9,9.12
107.09294792,-6.38887395,-96.97,-7.75,1270.43,4891.0
107.09290931,-6.38887754,-97.45,-8.75,8928.33,17889.18
107.09286544,-6.38888158,-94.23,-8.5,4878.53,17580.84
107.09282581,-6.38888594,-96.6,-9.5,5287.12,10151.73
107.09277439,-6.38889174,-95.9,-2.5,4337.23,15631.38
107.09273794,-6.38889607,-94.55,0.5,4732.1,10504.9
107.09269097,-6.38890328,-92.85,4.0,5637.08,12144.13
107.09265107,-6.3889109,-94.48,0.67,807.81,9463.39
107.09261354,-6.38891719,-96.33,-2.75,3057.71,8466.94
107.09257494,-6.38892268,-96.72,-3.75,2854.72,6082.47
107.09254239,-6.38892743,-95.08,-2.0,352.95,7603.17
107.09251415,-6.38893265,-96.58,-2.5,2198.85,5874.55
107.09248021,-6.38893784,-97.34,-1.0,4626.8,6193.35
107.09244997,-6.38894256,-96.85,-1.0,3497.12,5196.79
107.09242054,-6.38895097,-97.25,-1.0,3359.01,6525.12
107.09239555,-6.38896106,-94.65,1.25,5234.91,5611.13
107.09236988,-6.388971,-92.86,-0.5,3339.41,4858.98
107.09234856,-6.38898002,-90.15,-8.75,4655.89,4155.83
107.0923252,-6.38899318,-89.27,-8.25,1730.82,2287.9
107.09229742,-6.38900849,-90.88,-6.25,4359.94,3739.13
107.09226032,-6.3890293,-94.1,-14.5,224.0,10.88
107.0922173,-6.38905451,-94.02,-13.0,3434.44,2260.02
107.09218053,-6.38907581,-88.96,5.0,2593.38,13104.42
107.09213985,-6.38909915,-92.17,4.0,6404.53,5923.35
107.09210912,-6.3891142,-91.27,4.75,1786.77,4373.31
107.09207667,-6.3891269,-90.25,3.75,2112.45,4385.12
107.09203929,-6.38913948,-90.17,-3.0,10432.71,5597.31
107.09199925,-6.3891551,-90.85,0.75,2812.05,5967.12
107.09196982,-6.38916974,-88.61,0.75,5798.76,5938.87
107.09191326,-6.38920243,-91.06,-5.0,831.74,779.88
107.09187841,-6.38922557,-91.35,-7.75,2328.51,18780.18
107.09183652,-6.38925083,-96.3,-13.25,10007.86,34981.87
107.0917884,-6.38927892,-92.09,-10.25,2615.87,14731.57
107.09174631,-6.38930465,-89.68,-7.25,5887.23,30620.2
107.09170256,-6.38933168,-92.03,-8.75,9936.93,26924.96
107.09166797,-6.38935146,-86.35,8.25,2703.47,3087.38
107.09162162,-6.38938006,-86.82,8.25,6294.69,21047.27
107.0915787,-6.38940716,-86.67,9.0,3771.46,9223.07
107.09153975,-6.38943817,-88.38,8.5,1312.16,11279.98
107.09149316,-6.38947199,-87.06,8.0,3719.12,8229.13
107.09145251,-6.38950054,-87.46,7.0,1643.87,7944.67
107.09141612,-6.38952633,-92.38,5.5,3340.61,7024.26
107.09136996,-6.38955634,-94.01,4.25,6026.84,6653.47
107.09132764,-6.38957901,-93.25,4.75,3467.36,5501.66
107.09128529,-6.38960198,-93.22,4.33,3433.11,4943.76
107.09124337,-6.38962517,-91.92,0.0,3386.98,8657.71
107.09119373,-6.38965395,-90.88,5.0,9033.47,5944.22
107.09115397,-6.38967689,-90.02,-0.75,4532.36,5378.91
